"","var_desc","original_varname","clean_var_desc"
"N2_4_R","The following page contains phrases describing people's behaviors. Please use the rating scale next to each phrase to describe how accurately each statement describes you. 
 

Describe yourself as you generally are now, not as you wish to be in the future. Describe yourself as you honestly see yourself, in relation to other people you know of the same sex as you are, and roughly your same age. 
 

So that you can describe yourself in an honest manner, your responses will be kept in absolute confidence. Please read each statement carefully, and then click the circle that corresponds to the accuracy of the statement. - Am not easily annoyed.","N2_4_R","Am not easily annoyed."
"N3_1","The following page contains phrases describing people's behaviors. Please use the rating scale next to each phrase to describe how accurately each statement describes you. 
 

Describe yourself as you generally are now, not as you wish to be in the future. Describe yourself as you honestly see yourself, in relation to other people you know of the same sex as you are, and roughly your same age. 
 

So that you can describe yourself in an honest manner, your responses will be kept in absolute confidence. Please read each statement carefully, and then click the circle that corresponds to the accuracy of the statement. - Often feel blue.","N3_1","Often feel blue."
"N3_2","The following page contains phrases describing people's behaviors. Please use the rating scale next to each phrase to describe how accurately each statement describes you. 
 

Describe yourself as you generally are now, not as you wish to be in the future. Describe yourself as you honestly see yourself, in relation to other people you know of the same sex as you are, and roughly your same age. 
 

So that you can describe yourself in an honest manner, your responses will be kept in absolute confidence. Please read each statement carefully, and then click the circle that corresponds to the accuracy of the statement. - Dislike myself.","N3_2","Dislike myself."
"N3_3","The following page contains phrases describing people's behaviors. Please use the rating scale next to each phrase to describe how accurately each statement describes you. 
 

Describe yourself as you generally are now, not as you wish to be in the future. Describe yourself as you honestly see yourself, in relation to other people you know of the same sex as you are, and roughly your same age. 
 

So that you can describe yourself in an honest manner, your responses will be kept in absolute confidence. Please read each statement carefully, and then click the circle that corresponds to the accuracy of the statement. - Am often down in the dumps.","N3_3","Am often down in the dumps."
"N3_4_R","The following page contains phrases describing people's behaviors. Please use the rating scale next to each phrase to describe how accurately each statement describes you. 
 

Describe yourself as you generally are now, not as you wish to be in the future. Describe yourself as you honestly see yourself, in relation to other people you know of the same sex as you are, and roughly your same age. 
 

So that you can describe yourself in an honest manner, your responses will be kept in absolute confidence. Please read each statement carefully, and then click the circle that corresponds to the accuracy of the statement. - Feel comfortable with myself.","N3_4_R","Feel comfortable with myself."
"N4_1","The following page contains phrases describing people's behaviors. Please use the rating scale next to each phrase to describe how accurately each statement describes you. 
 

Describe yourself as you generally are now, not as you wish to be in the future. Describe yourself as you honestly see yourself, in relation to other people you know of the same sex as you are, and roughly your same age. 
 

So that you can describe yourself in an honest manner, your responses will be kept in absolute confidence. Please read each statement carefully, and then click the circle that corresponds to the accuracy of the statement. - Find it difficult to approach others.","N4_1","Find it difficult to approach others."
"N4_2","The following page contains phrases describing people's behaviors. Please use the rating scale next to each phrase to describe how accurately each statement describes you. 
 

Describe yourself as you generally are now, not as you wish to be in the future. Describe yourself as you honestly see yourself, in relation to other people you know of the same sex as you are, and roughly your same age. 
 

So that you can describe yourself in an honest manner, your responses will be kept in absolute confidence. Please read each statement carefully, and then click the circle that corresponds to the accuracy of the statement. - Am afraid to draw attention to myself.","N4_2","Am afraid to draw attention to myself."
"N4_3","The following page contains phrases describing people's behaviors. Please use the rating scale next to each phrase to describe how accurately each statement describes you. 
 

Describe yourself as you generally are now, not as you wish to be in the future. Describe yourself as you honestly see yourself, in relation to other people you know of the same sex as you are, and roughly your same age. 
 

So that you can describe yourself in an honest manner, your responses will be kept in absolute confidence. Please read each statement carefully, and then click the circle that corresponds to the accuracy of the statement. - Only feel comfortable with friends.","N4_3","Only feel comfortable with friends."
"N4_4_R","The following page contains phrases describing people's behaviors. Please use the rating scale next to each phrase to describe how accurately each statement describes you. 
 

Describe yourself as you generally are now, not as you wish to be in the future. Describe yourself as you honestly see yourself, in relation to other people you know of the same sex as you are, and roughly your same age. 
 

So that you can describe yourself in an honest manner, your responses will be kept in absolute confidence. Please read each statement carefully, and then click the circle that corresponds to the accuracy of the statement. - Am not bothered by difficult social situations.","N4_4_R","Am not bothered by difficult social situations."
"N5_1","The following page contains phrases describing people's behaviors. Please use the rating scale next to each phrase to describe how accurately each statement describes you. 
 

Describe yourself as you generally are now, not as you wish to be in the future. Describe yourself as you honestly see yourself, in relation to other people you know of the same sex as you are, and roughly your same age. 
 

So that you can describe yourself in an honest manner, your responses will be kept in absolute confidence. Please read each statement carefully, and then click the circle that corresponds to the accuracy of the statement. - Go on binges.","N5_1","Go on binges."
"N5_2_R","The following page contains phrases describing people's behaviors. Please use the rating scale next to each phrase to describe how accurately each statement describes you. 
 

Describe yourself as you generally are now, not as you wish to be in the future. Describe yourself as you honestly see yourself, in relation to other people you know of the same sex as you are, and roughly your same age. 
 

So that you can describe yourself in an honest manner, your responses will be kept in absolute confidence. Please read each statement carefully, and then click the circle that corresponds to the accuracy of the statement. - Rarely overindulge.","N5_2_R","Rarely overindulge."
"N5_3","The following page contains phrases describing people's behaviors. Please use the rating scale next to each phrase to describe how accurately each statement describes you. 
 

Describe yourself as you generally are now, not as you wish to be in the future. Describe yourself as you honestly see yourself, in relation to other people you know of the same sex as you are, and roughly your same age. 
 

So that you can describe yourself in an honest manner, your responses will be kept in absolute confidence. Please read each statement carefully, and then click the circle that corresponds to the accuracy of the statement. - Easily resist temptations.","N5_3","Easily resist temptations."
"N5_4","The following page contains phrases describing people's behaviors. Please use the rating scale next to each phrase to describe how accurately each statement describes you. 
 

Describe yourself as you generally are now, not as you wish to be in the future. Describe yourself as you honestly see yourself, in relation to other people you know of the same sex as you are, and roughly your same age. 
 

So that you can describe yourself in an honest manner, your responses will be kept in absolute confidence. Please read each statement carefully, and then click the circle that corresponds to the accuracy of the statement. - Am able to control my cravings.","N5_4","Am able to control my cravings."
"N6_1","The following page contains phrases describing people's behaviors. Please use the rating scale next to each phrase to describe how accurately each statement describes you. 
 

Describe yourself as you generally are now, not as you wish to be in the future. Describe yourself as you honestly see yourself, in relation to other people you know of the same sex as you are, and roughly your same age. 
 

So that you can describe yourself in an honest manner, your responses will be kept in absolute confidence. Please read each statement carefully, and then click the circle that corresponds to the accuracy of the statement. - Panic easily.","N6_1","Panic easily."
"N6_2","The following page contains phrases describing people's behaviors. Please use the rating scale next to each phrase to describe how accurately each statement describes you. 
 

Describe yourself as you generally are now, not as you wish to be in the future. Describe yourself as you honestly see yourself, in relation to other people you know of the same sex as you are, and roughly your same age. 
 

So that you can describe yourself in an honest manner, your responses will be kept in absolute confidence. Please read each statement carefully, and then click the circle that corresponds to the accuracy of the statement. - Become overwhelmed by events.","N6_2","Become overwhelmed by events."
"N6_3","The following page contains phrases describing people's behaviors. Please use the rating scale next to each phrase to describe how accurately each statement describes you. 
 

Describe yourself as you generally are now, not as you wish to be in the future. Describe yourself as you honestly see yourself, in relation to other people you know of the same sex as you are, and roughly your same age. 
 

So that you can describe yourself in an honest manner, your responses will be kept in absolute confidence. Please read each statement carefully, and then click the circle that corresponds to the accuracy of the statement. - Feel that I'm unable to deal with things.","N6_3","Feel that I'm unable to deal with things."
"N6_4_R","The following page contains phrases describing people's behaviors. Please use the rating scale next to each phrase to describe how accurately each statement describes you. 
 

Describe yourself as you generally are now, not as you wish to be in the future. Describe yourself as you honestly see yourself, in relation to other people you know of the same sex as you are, and roughly your same age. 
 

So that you can describe yourself in an honest manner, your responses will be kept in absolute confidence. Please read each statement carefully, and then click the circle that corresponds to the accuracy of the statement. - Remain calm under pressure.","N6_4_R","Remain calm under pressure."
"A1_1","agreeable - Trust others.","A1_1","Trust others."
"A1_2","agreeable - Believe that others have good intentions.","A1_2","Believe that others have good intentions."
"A1_3","agreeable - Trust what people say.","A1_3","Trust what people say."
"A1_4_R","agreeable - Distrust people.","A1_4_R","Distrust people."
"A2_1_R","agreeable - Use others for my own ends.","A2_1_R","Use others for my own ends."
"A2_2","agreeable - Cheat to get ahead.","A2_2","Cheat to get ahead."
"A2_3","agreeable - Take advantage of others.","A2_3","Take advantage of others."
"A2_4","agreeable - Obstruct others' plans.","A2_4","Obstruct others' plans."
"A3_1","agreeable - Am concerned about others.","A3_1","Am concerned about others."
"A3_2","agreeable - Love to help others.","A3_2","Love to help others."
"A3_3_R","agreeable - Am indifferent to the feelings of others.","A3_3_R","Am indifferent to the feelings of others."
"A3_4","agreeable - Take no time for others.","A3_4","Take no time for others."
"A4_1_R","agreeable - Love a good fight.","A4_1_R","Love a good fight."
"A4_2","agreeable - Yell at people.","A4_2","Yell at people."
"A4_3","agreeable - Insult people.","A4_3","Insult people."
"A4_4","agreeable - Get back at others.","A4_4","Get back at others."
"A5_1_R","agreeable - Believe that I am better than others.","A5_1_R","Believe that I am better than others."
"A5_2","agreeable - Think highly of myself.","A5_2","Think highly of myself."
"A5_3","agreeable - Have a high opinion of myself.","A5_3","Have a high opinion of myself."
"A5_4","agreeable - Boast about my virtues.","A5_4","Boast about my virtues."
"A6_1","agreeable - Sympathize with the homeless.","A6_1","Sympathize with the homeless."
"A6_2","agreeable - Feel sympathy for those who are worse off than myself.","A6_2","Feel sympathy for those who are worse off than myself."
"A6_3_R","agreeable - Am not interested in other people's problems.","A6_3_R","Am not interested in other people's problems."
"A6_4","agreeable - Try not to think about the needy.","A6_4","Try not to think about the needy."
"E1_1","extroversion - Make friends easily.","E1_1","Make friends easily."
"E1_2","extroversion - Feel comfortable around people.","E1_2","Feel comfortable around people."
"E1_3_R","extroversion - Avoid contacts with others.","E1_3_R","Avoid contacts with others."
"E1_4","extroversion - Keep others at a distance.","E1_4","Keep others at a distance."
"E2_1","extroversion - Love large parties.","E2_1","Love large parties."
"E2_2","extroversion - Talk to a lot of different people at parties.","E2_2","Talk to a lot of different people at parties."
"E2_3_R","extroversion - Prefer to be alone.","E2_3_R","Prefer to be alone."
"E2_4","extroversion - Avoid crowds.","E2_4","Avoid crowds."
"E3_1","extroversion - Take charge.","E3_1","Take charge."
"E3_2","extroversion - Try to lead others.","E3_2","Try to lead others."
"E3_3","extroversion - Take control of things.","E3_3","Take control of things."
"E3_4_R","extroversion - Wait for others to lead the way.","E3_4_R","Wait for others to lead the way."
"E4_1","extroversion - Am always busy.","E4_1","Am always busy."
"E4_2","extroversion - Am always on the go.","E4_2","Am always on the go."
"E4_3","extroversion - Do a lot in my spare time.","E4_3","Do a lot in my spare time."
"E4_4_R","extroversion - Like to take it easy.","E4_4_R","Like to take it easy."
"E5_1","extroversion - Love excitement.","E5_1","Love excitement."
"E5_2","extroversion - Seek adventure.","E5_2","Seek adventure."
"E5_3","extroversion - Enjoy being reckless.","E5_3","Enjoy being reckless."
"E5_4","extroversion - Act wild and crazy.","E5_4","Act wild and crazy."
"E6_1","extroversion - Radiate joy.","E6_1","Radiate joy."
"E6_2","extroversion - Have a lot of fun.","E6_2","Have a lot of fun."
"E6_3","extroversion - Love life.","E6_3","Love life."
"E6_4","extroversion - Look at the bright side of life.","E6_4","Look at the bright side of life."
"O1_1","open - Have a vivid imagination.","O1_1","Have a vivid imagination."
"O1_2","open - Enjoy wild flights of fantasy.","O1_2","Enjoy wild flights of fantasy."
"O1_3","open - Love to daydream.","O1_3","Love to daydream."
"O1_4","open - Like to get lost in thought.","O1_4","Like to get lost in thought."
"O2_1","open - Believe in the importance of art.","O2_1","Believe in the importance of art."
"O2_2","open - See beauty in things that others might not notice.","O2_2","See beauty in things that others might not notice."
"O2_3_R","open - Do not like poetry.","O2_3_R","Do not like poetry."
"O2_4","open - Do not enjoy going to art museums.","O2_4","Do not enjoy going to art museums."
"O3_1","open - Experience my emotions intensely.","O3_1","Experience my emotions intensely."
"O3_2","open - Feel others' emotions.","O3_2","Feel others' emotions."
"O3_3_R","open - Rarely notice my emotional reactions.","O3_3_R","Rarely notice my emotional reactions."
"O3_4","open - Don't understand people who get emotional.","O3_4","Don't understand people who get emotional."
"O4_1","open - Prefer variety to routine.","O4_1","Prefer variety to routine."
"O4_2_R","open - Prefer to stick with things that I know.","O4_2_R","Prefer to stick with things that I know."
"O4_3","open - Dislike changes.","O4_3","Dislike changes."
"O4_4","open - Am attached to conventional ways.","O4_4","Am attached to conventional ways."
"O5_1","open - Love to read challenging material.","O5_1","Love to read challenging material."
"O5_2_R","open - Avoid philosophical discussions.","O5_2_R","Avoid philosophical discussions."
"O5_3","open - Have difficulty understanding abstract ideas.","O5_3","Have difficulty understanding abstract ideas."
"O5_4","open - Am not interested in theoretical discussions.","O5_4","Am not interested in theoretical discussions."
"O6_1","open - Tend to vote for liberal political candidates.","O6_1","Tend to vote for liberal political candidates."
"O6_2","open - Believe that there is no absolute right and wrong.","O6_2","Believe that there is no absolute right and wrong."
"O6_3_R","open - Tend to vote for conservative political candidates.","O6_3_R","Tend to vote for conservative political candidates."
"O6_4","open - Believe that we should be tough on crime.","O6_4","Believe that we should be tough on crime."
"C1_1","conscientiousness - Complete tasks successfully.","C1_1","Complete tasks successfully."
"C1_2","conscientiousness - Excel in what I do.","C1_2","Excel in what I do."
"C1_3","conscientiousness - Handle tasks smoothly.","C1_3","Handle tasks smoothly."
"C1_4","conscientiousness - Know how to get things done.","C1_4","Know how to get things done."
"C2_1","conscientiousness - Like to tidy up.","C2_1","Like to tidy up."
"C2_2_R","conscientiousness - Often forget to put things back in their proper place.","C2_2_R","Often forget to put things back in their proper place."
"C2_3","conscientiousness - Leave a mess in my room.","C2_3","Leave a mess in my room."
"C2_4","conscientiousness - Leave my belongings around.","C2_4","Leave my belongings around."
"C3_1","conscientiousness - Keep my promises.","C3_1","Keep my promises."
"C3_2","conscientiousness - Tell the truth.","C3_2","Tell the truth."
"C3_3_R","conscientiousness - Break rules.","C3_3_R","Break rules."
"C3_4","conscientiousness - Break my promises.","C3_4","Break my promises."
"C4_1","conscientiousness - Do more than what's expected of me.","C4_1","Do more than what's expected of me."
"C4_2","conscientiousness - Work hard.","C4_2","Work hard."
"C4_3_R","conscientiousness - Put little time and effort into my work.","C4_3_R","Put little time and effort into my work."
"C4_4","conscientiousness - Do just enough work to get by.","C4_4","Do just enough work to get by."
"C5_1","conscientiousness - Am always prepared.","C5_1","Am always prepared."
"C5_2","conscientiousness - Carry out my plans.","C5_2","Carry out my plans."
"C5_3_R","conscientiousness - Waste my time.","C5_3_R","Waste my time."
"C5_4","conscientiousness - Have difficulty starting tasks.","C5_4","Have difficulty starting tasks."
"C6_1_R","conscientiousness - Jump into things without thinking.","C6_1_R","Jump into things without thinking."
"C6_2","conscientiousness - Make rash decisions.","C6_2","Make rash decisions."
"C6_3","conscientiousness - Rush into things.","C6_3","Rush into things."
"C6_4","conscientiousness - Act without thinking.","C6_4","Act without thinking."
"attn_1","How often do you have difficulty concentrating on what people say to you, even when they are speaking to you directly?","attn_1","How often do you have difficulty concentrating on what people say to you, even when they are speaking to you directly?"
"attn_2","How often do you leave your seat in meetings or other situations in which you are expected to remain seated?","attn_2","How often do you leave your seat in meetings or other situations in which you are expected to remain seated?"
"attn_3","How often do you have difficulty unwinding and relaxing when you have time to yourself?","attn_3","How often do you have difficulty unwinding and relaxing when you have time to yourself?"
"attn_4","When you’re in a conversation, how often do you find yourself finishing the sentences of the people you are talking to before they can finish them themselves?","attn_4","When you’re in a conversation, how often do you find yourself finishing the sentences of the people you are talking to before they can finish them themselves?"
"attn_5","How often do you put things off until the last minute?","attn_5","How often do you put things off until the last minute?"
"attn_6","How often do you depend on others to keep your life in order and attend to details?","attn_6","How often do you depend on others to keep your life in order and attend to details?"
"age","What is your age in years?","age","What is your age in years?"
"gender","What is your gender? - Selected Choice","gender","Selected Choice"
"gender_4_TEXT","What is your gender? - My gender isn't listed above: - Text","gender_4_TEXT","My gender isn't listed above: - Text"
"race","How do you identify your race/ethnicity? Please select all that apply: - Selected Choice","race","Selected Choice"
"race_7_TEXT","How do you identify your race/ethnicity? Please select all that apply: - My race isn't listed above: - Text","race_7_TEXT","My race isn't listed above: - Text"
"adhd_yn","Do you have attention deficit hyperactivity disorder (ADHD) or attention deficit disorder (ADD)?","adhd_yn","Do you have attention deficit hyperactivity disorder (ADHD) or attention deficit disorder (ADD)?"
"education","What is the highest level of school you have completed or the highest degree you have earned?","education","What is the highest level of school you have completed or the highest degree you have earned?"
"employment","Which of the following best describes your current employment status? - Selected Choice","employment","Selected Choice"
"employment_5_TEXT","Which of the following best describes your current employment status? - Something else: - Text","employment_5_TEXT","Something else: - Text"
"income","Information about income is important to understand. Would you please give your best guess?Please indicate the answer that includes your household's income in 2020 before taxes.","income","Information about income is important to understand. Would you please give your best guess?Please indicate the answer that includes your household's income in 2020 before taxes."
"id","id","id","id"
